case_id,task_id,event_label,resource,start_time,completion_time
0,0,W_Complete application,User_109,2020-01-01 00:00:00.029001,2020-01-01 00:05:13.372195
1,1,W_Complete application,User_109,2020-01-01 00:05:13.372195,2020-01-01 00:15:52.883458
0,3,W_Complete application,User_109,2020-01-01 00:15:52.883458,2020-01-01 00:20:39.591052
1,5,W_Call after offers,User_132,2020-01-01 00:15:52.883458,2020-01-01 00:25:17.908477
2,2,W_Complete application,User_109,2020-01-01 00:20:39.591052,2020-01-01 00:25:25.782660
3,4,W_Complete application,User_109,2020-01-01 00:25:25.782660,2020-01-01 00:28:57.979671
0,11,W_Call after offers,User_132,2020-01-01 00:25:17.908477,2020-01-01 00:30:14.896980
4,6,W_Complete application,User_109,2020-01-01 00:28:57.979671,2020-01-01 00:36:55.688575
2,19,W_Call after offers,User_132,2020-01-01 00:30:14.896980,2020-01-01 00:39:18.640326
0,21,W_Call after offers,User_132,2020-01-01 00:39:18.640326,2020-01-01 00:40:13.026151
2,26,W_Call after offers,User_132,2020-01-01 00:40:13.026151,2020-01-01 00:41:16.433134
5,7,W_Complete application,User_109,2020-01-01 00:36:55.688575,2020-01-01 00:49:15.898188
5,29,W_Call after offers,User_132,2020-01-01 00:49:15.898188,2020-01-01 00:55:28.669953
6,8,W_Complete application,User_109,2020-01-01 00:49:15.898188,2020-01-01 00:55:57.232395
7,9,W_Complete application,User_109,2020-01-01 00:55:57.232395,2020-01-01 01:07:19.259385
7,31,W_Complete application,User_144,2020-01-01 01:07:19.259385,2020-01-01 01:15:52.763954
8,10,W_Complete application,User_109,2020-01-01 01:07:19.259385,2020-01-01 01:17:15.057213
8,33,W_Complete application,User_144,2020-01-01 01:17:15.057213,2020-01-01 01:25:19.341522
9,12,W_Complete application,User_109,2020-01-01 01:17:15.057213,2020-01-01 01:27:03.861271
10,13,W_Complete application,User_109,2020-01-01 01:27:03.861271,2020-01-01 01:35:29.577066
9,35,W_Complete application,User_144,2020-01-01 01:27:03.861271,2020-01-01 01:38:09.546050
11,14,W_Complete application,User_109,2020-01-01 01:35:29.577066,2020-01-01 01:40:17.653907
12,15,W_Complete application,User_109,2020-01-01 01:40:17.653907,2020-01-01 01:50:58.333012
13,16,W_Complete application,User_109,2020-01-01 01:50:58.333012,2020-01-01 01:57:10.952343
1,18,W_Validate application,User_109,2020-01-01 01:57:10.952343,2020-01-01 02:00:15.320362
12,56,W_Call after offers,User_132,2020-01-01 01:50:58.333012,2020-01-01 02:00:46.044661
3,20,W_Complete application,User_109,2020-01-01 02:00:15.320362,2020-01-01 02:02:12.434432
12,59,W_Call after offers,User_132,2020-01-01 02:00:46.044661,2020-01-01 02:02:25.717812
18,36,W_Call after offers,User_144,2020-01-01 01:38:09.546050,2020-01-01 02:02:25.997625
20,38,W_Complete application,User_144,2020-01-01 02:02:25.997625,2020-01-01 02:13:01.551667
15,22,W_Complete application,User_109,2020-01-01 02:02:12.434432,2020-01-01 02:13:22.681604
15,64,W_Call after offers,User_132,2020-01-01 02:13:22.681604,2020-01-01 02:19:55.376916
16,23,W_Complete application,User_109,2020-01-01 02:13:22.681604,2020-01-01 02:21:39.680918
22,40,W_Complete application,User_144,2020-01-01 02:13:01.551667,2020-01-01 02:22:26.114978
22,67,W_Call after offers,User_132,2020-01-01 02:22:26.114978,2020-01-01 02:28:11.227090
4,25,W_Complete application,User_109,2020-01-01 02:21:39.680918,2020-01-01 02:30:55.231937
24,42,W_Complete application,User_144,2020-01-01 02:22:26.114978,2020-01-01 02:31:28.937391
0,27,W_Validate application,User_109,2020-01-01 02:30:55.231937,2020-01-01 02:32:48.103132
2,28,W_Validate application,User_109,2020-01-01 02:32:48.103132,2020-01-01 02:36:07.132952
26,44,W_Complete application,User_144,2020-01-01 02:31:28.937391,2020-01-01 02:42:40.654215
6,30,W_Complete application,User_109,2020-01-01 02:36:07.132952,2020-01-01 02:45:54.624144
28,46,W_Complete application,User_144,2020-01-01 02:42:40.654215,2020-01-01 02:49:51.149076
7,32,W_Complete application,User_109,2020-01-01 02:45:54.624144,2020-01-01 02:54:31.030983
7,81,W_Call after offers,User_132,2020-01-01 02:54:31.030983,2020-01-01 03:00:01.697485
8,34,W_Complete application,User_109,2020-01-01 02:54:31.030983,2020-01-01 03:04:31.007272
9,49,W_Call after offers,User_144,2020-01-01 02:49:51.149076,2020-01-01 03:12:22.274887
9,84,W_Call after offers,User_132,2020-01-01 03:12:22.274887,2020-01-01 03:13:41.083633
17,24,W_Complete application,User_109,2020-01-01 03:04:31.007272,2020-01-01 03:13:59.477547
29,47,W_Complete application,User_144,2020-01-01 03:12:22.274887,2020-01-01 03:23:18.134220
19,37,W_Complete application,User_109,2020-01-01 03:13:59.477547,2020-01-01 03:23:38.838573
31,52,W_Complete application,User_144,2020-01-01 03:23:18.134220,2020-01-01 03:30:00.019768
21,39,W_Complete application,User_109,2020-01-01 03:23:38.838573,2020-01-01 03:33:49.377050
33,54,W_Complete application,User_144,2020-01-01 03:30:00.019768,2020-01-01 03:38:07.869251
