case_id,task,resource,start_time,completion_time
0,Create Purchase Requisition,Esmana Liubiata,2020-01-03 08:00:00.000000,2020-01-03 11:46:40.298234
2,Create Purchase Requisition,Tesca Lobes,2020-01-03 08:00:00.000000,2020-01-03 13:51:44.025738
0,Create Request for Quotation,Tesca Lobes,2020-01-03 13:51:44.025738,2020-01-03 14:17:57.894684
1,Create Purchase Requisition,Kim Passa,2020-01-03 08:00:00.000000,2020-01-03 14:38:30.165672
4,Create Purchase Requisition,Fjodor Kowalski,2020-01-03 11:16:24.993294,2020-01-03 15:09:38.261336
3,Create Purchase Requisition,Nico Ojenbeer,2020-01-03 09:00:00.000000,2020-01-03 15:33:49.578786
5,Create Purchase Requisition,Esmana Liubiata,2020-01-03 11:46:40.298234,2020-01-03 15:41:23.813260
6,Create Purchase Requisition,Tesca Lobes,2020-01-03 14:17:57.894684,2020-01-03 19:48:49.486642
7,Create Purchase Requisition,Kim Passa,2020-01-03 14:38:30.165672,2020-01-03 20:32:04.064008
2,Analyze Purchase Requisition,Maris Freeman,2020-01-05 08:00:00.000000,2020-01-05 08:28:09.326692
0,Analyze Request for Quotation,Karel de Groot,2020-01-05 08:00:00.000000,2020-01-05 08:30:08.697719
1,Analyze Purchase Requisition,Maris Freeman,2020-01-05 08:28:09.326692,2020-01-05 08:50:45.508471
4,Analyze Purchase Requisition,Maris Freeman,2020-01-05 08:50:45.508471,2020-01-05 09:22:51.962999
3,Analyze Purchase Requisition,Maris Freeman,2020-01-05 09:22:51.962999,2020-01-05 09:57:53.753892
5,Analyze Purchase Requisition,Maris Freeman,2020-01-05 09:57:53.753892,2020-01-05 10:26:11.287771
11,Create Purchase Requisition,Alberto Duport,2020-01-05 10:26:11.287771,2020-01-05 10:50:49.093533
7,Analyze Purchase Requisition,Maris Freeman,2020-01-05 10:26:11.287771,2020-01-05 10:54:29.756061
6,Create Request for Quotation,Esmana Liubiata,2020-01-05 09:57:53.753892,2020-01-05 11:01:10.138571
8,Create Purchase Requisition,Clement Duchot,2020-01-05 10:26:11.287771,2020-01-05 11:17:40.419969
12,Create Purchase Requisition,Alberto Duport,2020-01-05 10:50:49.093533,2020-01-05 11:23:23.903910
2,Create Request for Quotation,Maris Freeman,2020-01-05 11:17:40.419969,2020-01-05 11:54:28.212223
0,Amend Request for Quotation,Alberto Duport,2020-01-05 11:23:23.903910,2020-01-05 12:18:22.963710
14,Create Purchase Requisition,Clement Duchot,2020-01-05 11:17:40.419969,2020-01-05 12:20:41.514329
1,Create Request for Quotation,Maris Freeman,2020-01-05 11:54:28.212223,2020-01-05 12:24:01.241256
11,Analyze Purchase Requisition,Maris Freeman,2020-01-05 12:24:01.241256,2020-01-05 12:58:48.553080
7,Create Request for Quotation,Maris Freeman,2020-01-05 12:58:48.553080,2020-01-05 13:34:09.208404
8,Analyze Purchase Requisition,Maris Freeman,2020-01-05 13:34:09.208404,2020-01-05 13:58:32.029689
12,Analyze Purchase Requisition,Maris Freeman,2020-01-05 13:58:32.029689,2020-01-05 14:26:14.620315
